video_id,title,channel_title,publish_time,view_count,like_count,comment_count,dislike_count,like_view_ratio,comment_view_ratio,cluster,pca1,pca2
C6eU_TZTbeY,Finance Analysis And Reporting | Finance Analyst Training | Python Data Analytics 2023 | Simplilearn,Simplilearn,2022-11-30 08:37:47+00:00,12050,224,3,0,0.018589211618257263,0.00024896265560165974,0,-0.8048615324638922,0.09330370293786017
boLj6vmdf-U,CMA Inter New Syllabus JUNE/DEC 23 - Business Data Analytics 1st CLASS | MEPL,MEPL CMA EXCLUSIVE- CMA Inter Final & Foundation,2023-03-15 19:33:10+00:00,9743,281,8,0,0.028841219336959868,0.000821102329877861,0,-0.7974107506573568,0.08583537173566824
vX8hmygN_v0,Data Analytics with Python | Data Analytics with SQL | Data Analytics Tutorial | Intellipaat,Intellipaat,2021-07-25 11:28:08+00:00,25929,774,2,0,0.029850746268656716,7.713371128851865e-05,0,-0.7800746327278979,0.09771237580359399
Rceg30OAbIc,🚀 Six Phases of Data Analysis,Infinite Data Hindi,2024-06-18 12:00:32+00:00,31,3,1,0,0.0967741935483871,0.03225806451612903,0,-0.8208654259062073,0.08873812338973228
vZ12q07C7bo,Cover Letter for Data Analyst Freshers #dataanalysis #coverletter #dataanalyst,BEPEC by Kanth - #BuildExperience & Get Hired!,2024-06-19 14:04:18+00:00,1475,173,1,0,0.11728813559322034,0.0006779661016949153,0,-0.8141042973682672,0.08753837522941421
o2HkGKhZCJI,Aula Inaugural: Coding The Future Sysvision - Data Analytics com Power BI,DIO,2024-06-18 23:39:51+00:00,2399,81,0,0,0.033764068361817424,0.0,0,-0.8182761624237967,0.09051304598438822
t18B2Uue994,COVID-19 Data Analytics #codingtutorial #cryptobot #covid19 #datascience #dataanalytics,Code SixtySecond,2024-05-27 13:49:24+00:00,78,5,0,0,0.0641025641025641,0.0,0,-0.8220638496871467,0.0897172217955009
aOnjUKCXphY,Data Analytics video,CGCC Business & Computing Studies Division,2024-06-22 02:35:41+00:00,7,0,0,0,0.0,0.0,0,-0.8222757338912549,0.0897298241878784
tyUZEJD291k,DATA ANALYTICS USING EXCEL,Asogwa Chinenye,2024-06-21 11:58:40+00:00,0,0,0,0,,,0,-0.8222789303250818,0.08972425834485115
K1yz9izM4lQ,🔥Business Analytics And Excel Full Course 2023 | Data Analytics With Excel | Excel | Simplilearn,Simplilearn,2023-02-03 19:50:40+00:00,46323,1307,8,0,0.028214925630896098,0.0001727003864171146,0,-0.743881245448813,0.10075059763453303
l7KBHductuw,The power of Learning Business Data Analytics-BDA,Joshua Aura,2024-06-18 06:33:50+00:00,79,5,0,0,0.06329113924050633,0.0,0,-0.8220633930537429,0.0897180169159334
4JIfvm6sfrQ,Data Analytics Training - Lesson 1 (introduction),Jimiama Mosima Mafeni Mase,2024-06-22 13:28:37+00:00,28,2,0,0,0.07142857142857142,0.0,0,-0.8221943592968001,0.08971889933972715
QtWvUVepiYw,Best AI tool for Data Analysis in 2024 | Powerdrill AI,Gurru Tech Solutions,2024-06-21 12:00:35+00:00,1655,70,10,0,0.04229607250755287,0.006042296072507553,0,-0.806094008348676,0.08037989823066183
KyXBYlEaM4M,Big Data Analytics - Intro to Hadoop Framework | Dr. M Jaiganesh | Mastering Up,TEMS Tech Solutions,2024-06-20 18:44:49+00:00,89,9,0,0,0.10112359550561797,0.0,0,-0.8219152561337567,0.08967072336579232
zsViXOHtKrw,Big Data Analysis using HDFS | Data Analytics using Hadoop | Intellipaat,Intellipaat,2020-09-16 07:19:22+00:00,8649,140,11,0,0.016186842409527114,0.0012718233321771303,0,-0.7990961582241445,0.08400483720944346
NJF5RlBIIPQ,CMA Inter - June (2024) | Financial Management &amp; Data Analytics (FBDA) | Suggested Answers,Gourav Kabra - CA & CMA,2024-06-20 01:35:20+00:00,2101,117,25,0,0.055687767729652546,0.011899095668729176,0,-0.7848283328072563,0.06554514423842944
3cTmAlpQ4sY,Student&#39;s Review: Complete Complete Data Analytics Program @GeeksforGeeksVideos,Priya Bhatia,2024-06-18 04:31:20+00:00,177,16,0,0,0.0903954802259887,0.0,0,-0.8216238238688092,0.08964401564353386
H-h1P0lQ0e0,The Skills Every Data Analyst Needs | Mavens of Data,Maven Analytics,2024-06-14 16:00:06+00:00,1339,73,6,0,0.05451829723674384,0.004480955937266617,0,-0.8112973099404106,0.08396460709885968
FaCasxYUCD8,🚀 Six Phases of Data Analysis,Infinite Data Telugu,2024-06-18 12:00:27+00:00,47,1,0,0,0.02127659574468085,0.0,0,-0.8222215759086138,0.0897478178165603
3-80KlZR54k,🚀 Types of Data Analytics,Infinite Data Hindi,2024-06-21 12:00:04+00:00,12,2,0,0,0.16666666666666666,0.0,0,-0.8222016654312617,0.0897061774128079
7BMPhcoV_rI,🚀 Types of Data Analytics,Infinite Data Telugu,2024-06-21 12:00:05+00:00,15,3,2,0,0.2,0.13333333333333333,0,-0.8195810611967745,0.08775605134013714
EdvoOf2RjMc,ChatGPT-4o For Data Analysis | Data Analysis For Beginners | ChatGPT For Data Analysis | Simpilearn,Simplilearn,2024-06-16 14:30:07+00:00,3823,142,2,0,0.037143604499084486,0.000523149359142035,0,-0.8128531233332185,0.08886411472925562
OP8BsGnqi9c,Big Data Analytics Full Course In 10 Hours | Big Data Hadoop Tutorial | Hadoop | Great Learning,Great Learning,2020-09-13 12:02:26+00:00,140067,2972,87,0,0.02121841690048334,0.0006211313157274733,0,-0.5392713505695773,0.07571407871710811
P-bKqfKhqR8,Top 10 Data Analytics Tools 2024 | Best Tools for Data Analysis | Data Analytics Training | Edureka,edureka!,2020-06-09 07:00:11+00:00,53133,919,9,0,0.01729621892232699,0.0001693862571283383,0,-0.7534062479615967,0.11055475884004842
5Kpjf5z76Pc,Student&#39;s Review: Complete Complete Data Analytics Program ‪@GeeksforGeeksVideos,Priya Bhatia,2024-06-21 03:30:02+00:00,98,4,0,0,0.04081632653061224,0.0,0,-0.8220906096655565,0.08974693539276637
WlO2qt1x-Bk,Hadoop MapReduce Model - Big Data Analytics Tutorial by Mahesh Huddar,Mahesh Huddar,2020-04-20 13:49:05+00:00,10490,170,5,0,0.016205910390848427,0.00047664442326024784,0,-0.8049287417964086,0.09087041900316041
Uboggg8IW1w,Video 01 Data Analytics Design Data Architecture Manage the Data for Analysis_Part_01,Dr Uma Pavan Kumar Kethavarapu,2020-04-18 09:39:58+00:00,14372,135,12,0,0.009393264681324799,0.0008349568605622043,0,-0.7953706376424294,0.08765501726480128
h8KQaIXDxqY,Data Analytics Orientation Session | Mr. Jatin Sahnan | 20th June 2024,IIM Skills,2024-06-20 16:27:35+00:00,43,0,0,0,0.0,0.0,0,-0.8222592950887161,0.08975844852344683
0nI7kteBMkQ,Considering a Data Analytics Career in the NHS? Get Your Questions Answered Here,Adesanya Ayeni,2024-06-22 09:39:44+00:00,108,7,2,0,0.06481481481481481,0.018518518518518517,0,-0.8193950237042685,0.08777475278589009
nwnTHCvsX14,Data Analytics Project | Sales Data Analysis Using Excel,MyCodeSpace,2023-05-07 01:30:30+00:00,8899,172,18,0,0.01932801438363861,0.0020226991796831106,0,-0.788791739278339,0.07697620842310227
SIGro3jnvSE,📊 The Data Analyst Road Map! 🚀💼 | #thillaithetechie,Thillai The Techie,2024-06-21 13:30:23+00:00,1369,222,8,0,0.16216216216216217,0.005843681519357195,0,-0.8033522649239562,0.07999189336263973
xkm8yU-1pwA,A SIMPLIFIED INTRODUCTION TO DATA ANALYTICS BY DIVINE APEMAA,TAWER AFRICA,2024-06-22 05:24:16+00:00,6,3,0,0,0.5,0.0,0,-0.822168512585198,0.08968759550159677
ydGx4zzHOIA,❌STOP Struggling! |FASTEST Way to Learn Data Science &amp; Data Analyst and ACTUALLY Get a Job |DataGyan,Data Gyan,2024-06-22 09:53:41+00:00,79,7,1,0,0.08860759493670886,0.012658227848101266,0,-0.8206999369168746,0.08872104441602471
Yt3gP7azv1U,This is how BUSINESS DATA ANALYTICS is tested-CPA KENYA,Joshua Aura,2024-06-22 16:56:18+00:00,68,2,0,0,0.029411764705882353,0.0,0,-0.822176093960646,0.08975070415702546
GVQL15i7W10,"E-commerce Projects for  Data Analystics 2024, for updates @DataTipsTricks #shorts #dataanalytics",AnalystsWorld,2024-06-21 14:01:35+00:00,16,3,0,0,0.1875,0.0,0,-0.8221639462511594,0.08969554670592128
PW2QVUy25mg,Conviertete en un analista de datos #shorts #,Cedhinfo,2024-06-21 21:13:25+00:00,2742,333,1,0,0.12144420131291028,0.00036469730123997083,0,-0.8077829194076783,0.08633600263871519
DkQt01CVR9o,Data Analytics | Part 2 | Unicorn Sales Analysis,iNeuron Intelligence,2024-06-21 06:16:05+00:00,265,11,0,0,0.04150943396226415,0.0,0,-0.8217631033617045,0.08978304218467198
bbDntlA0x2k,"Data Analyst Roadmap 2024, stay tuned at @DataTipsTricks #shorts #dataanalytics",AnalystsWorld,2024-06-22 04:51:56+00:00,7,3,0,0,0.42857142857142855,0.0,0,-0.8221680559517941,0.08968839062202921
4VvI6Wwvpug,Data Analytics Unit 4 | KCS 051 | KIT 601 | AKTU | @c4yourselfyt,C 4 Yourself,2023-12-03 14:00:01+00:00,7752,95,59,0,0.012254901960784314,0.0076109391124871,0,-0.7391207269723813,0.03738431178082568
Uzx7-7JnJPw,This is how BUSINESS DATA ANALYTICS is tested-CPA KENYA,RCM ONLINE COLLEGE,2024-06-22 16:56:18+00:00,7,0,0,0,0.0,0.0,0,-0.8222757338912549,0.0897298241878784
jkNuQ4gUkCA,Foreign Direct Investment Data Analysis || Ineuron || Internship Project || Data Analytics project,R K M,2024-06-22 13:32:26+00:00,29,7,1,0,0.2413793103448276,0.034482758620689655,0,-0.8207227685870673,0.08868128839440179
ggNMfjf4ibI,"Combining Data Analytics with IoT Can Create Supply Chain Insights - Eric Lund, Nexxiot",TLME Media,2024-06-18 11:04:51+00:00,313,0,0,0,0.0,0.0,0,-0.8221360040696756,0.08997313104021026
1cZpCQaaidU,Google Data Analytics Coursera ||| All Courses Solutions || All Weeks Answers.,Online Courses,2022-06-30 10:13:18+00:00,35395,455,45,0,0.01285492301172482,0.0012713660121486086,0,-0.7316600488688844,0.06796269971079846
